Equipo Objetivo;Equipo Rival;Y;pot_ataque_obj;pot_defensa_riv;goles_favor_obj;goles_contra_riv;mundial_anterior;mejores_cuatro;puntaje_fifa_obj;puntaje_fifa_riv;cabeza_serie_obj;cabeza_serie_riv;ranking_fifa_obj;ranking_fifa_riv
Chile;Paêses Bajos;0;78;74;2.25;0.75;1;0;1026;981;0;0;14;15
Camer“n;Brasil;1;76;83;1.4;0;1;0;558;1242;0;1;56;3
Brasil;Camer“n;4;84;76;3.33;1.8;1;0;1242;558;1;0;3;56
Croacia;M_xico;1;68;74;1.67;1.5;0;0;903;882;0;0;18;20
M_xico;Croacia;3;79;66;3;1;1;0;882;903;0;0;20;18
Italia;Uruguay;0;80;78;0.33;0.33;1;0;1104;1147;0;1;9;7
Uruguay;Italia;1;84;81;1.33;0.67;1;1;1147;1104;1;0;7;9
Costa Rica;Inglaterra;0;68;81;0.8;0.5;0;0;762;1090;0;0;28;10
Inglaterra;Costa Rica;0;84;66;1.5;2;1;0;1090;762;0;0;10;28
Japãn;Colombia;1;68;76;3;1;1;0;626;1137;0;1;46;8
Colombia;Japãn;4;81;66;2;1.5;0;0;1137;626;1;0;8;46
Grecia;Costa de Marfil;2;75;72;0.5;1.67;1;0;1064;809;0;0;12;23
Costa de Marfil;Grecia;1;80;75;1.67;0.75;1;0;809;1064;0;0;23;12
Nigeria;Argentina;2;68;78;0.75;0;1;0;640;1175;0;1;44;5
Argentina;Nigeria;3;85;66;1.67;1;1;0;1175;640;1;0;5;44
Bosnia y Herzegovina;Ri de Irön;3;68;66;1;0.83;0;0;873;641;0;0;21;43
Ri de Irön;Bosnia y Herzegovina;1;68;66;1.17;1;0;0;641;873;0;0;43;21
Honduras;Suiza;0;68;75;1;0.67;1;0;731;1149;0;1;33;6
Suiza;Honduras;3;70;66;1.67;1.75;1;0;1149;731;1;0;6;33
Ecuador;Francia;0;71;80;2;0.25;0;0;791;913;0;0;26;17
Francia;Ecuador;0;85;66;3.75;2.25;1;0;913;791;0;0;17;26
Estados Unidos;Alemania;0;75;82;1.67;0.75;1;0;1035;1300;0;1;13;2
Alemania;Estados Unidos;1;84;69;2.25;1;1;1;1300;1035;1;0;2;13
Portugal;Ghana;2;81;66;2.75;0.67;1;0;1189;704;0;0;4;37
Ghana;Portugal;1;68;80;1.33;0.5;1;0;704;1189;0;0;37;4
Rep“blica de Corea;B_lgica;0;68;79;0.5;0.75;1;0;547;1074;0;1;57;11
B_lgica;Rep“blica de Corea;1;80;66;2.5;1.83;0;0;1074;547;1;0;11;57
Argelia;Rusia;1;68;76;2.33;0.25;1;0;858;893;0;0;22;19
Rusia;Argelia;1;76;66;1.5;0.67;0;0;893;858;0;0;19;22
Brasil;Chile;1;84;72;3.33;0.75;1;0;1242;1026;1;0;3;14
Chile;Brasil;1;78;83;2.25;0;1;0;1026;1242;0;1;14;3
Colombia;Uruguay;2;81;78;2;0.33;0;0;1137;1147;1;1;8;7
Uruguay;Colombia;0;84;76;1.33;1;1;1;1147;1137;1;1;7;8
Paêses Bajos;M_xico;2;85;74;1;1.5;1;1;981;882;0;0;15;20
M_xico;Paêses Bajos;1;79;74;3;0.75;1;0;882;981;0;0;20;15
Costa Rica;Grecia;1;68;75;0.8;0.75;0;0;762;1064;0;0;28;12
Grecia;Costa Rica;1;75;66;0.5;2;1;0;1064;762;0;0;12;28
Francia;Nigeria;2;85;66;3.75;1;1;0;913;640;0;0;17;44
Nigeria;Francia;0;68;80;0.75;0.25;1;0;640;913;0;0;44;17
Alemania;Argelia;2;84;66;2.25;0.67;1;1;1300;858;1;0;2;22
Argelia;Alemania;1;68;82;2.33;0.75;1;0;858;1300;0;1;22;2
Argentina;Suiza;1;85;75;1.67;0.67;1;0;1175;1149;1;1;5;6
Suiza;Argentina;0;70;78;1.67;0;1;0;1149;1175;1;1;6;5
B_lgica;Estados Unidos;2;80;69;2.5;1;0;0;1074;1035;1;0;11;13
Estados Unidos;B_lgica;1;75;79;1.67;0.75;1;0;1035;1074;0;1;13;11
Francia;Alemania;0;85;82;3.75;0.75;1;0;913;1300;0;1;17;2
Alemania;Francia;1;84;80;2.25;0.25;1;1;1300;913;1;0;2;17
Brasil;Colombia;2;84;76;3.33;1;1;0;1242;1137;1;1;3;8
Colombia;Brasil;1;81;83;2;0;0;0;1137;1242;1;1;8;3
Argentina;B_lgica;1;85;79;1.67;0.75;1;0;1175;1074;1;1;5;11
B_lgica;Argentina;0;80;78;2.5;0;0;0;1074;1175;1;1;11;5
Paêses Bajos;Costa Rica;0;85;66;1;2;1;1;981;762;0;0;15;28
Costa Rica;Paêses Bajos;0;68;74;0.8;0.75;0;0;762;981;0;0;28;15
Brasil;Alemania;1;84;82;3.33;0.75;1;0;1242;1300;1;1;3;2
Alemania;Brasil;7;84;83;2.25;0;1;1;1300;1242;1;1;2;3
Paêses Bajos;Argentina;0;85;78;1;0;1;1;981;1175;0;1;15;5
Argentina;Paêses Bajos;0;85;74;1.67;0.75;1;0;1175;981;1;0;5;15
Brasil;Paêses Bajos;0;84;74;3.33;0.75;1;0;1242;981;1;0;3;15
Paêses Bajos;Brasil;3;85;83;1;0;1;1;981;1242;0;1;15;3
Alemania;Argentina;1;84;78;2.25;0;1;1;1300;1175;1;1;2;5
Argentina;Alemania;0;85;82;1.67;0.75;1;0;1175;1300;1;1;5;2
